"id","timestamp","horario_de_pico","cpu_percent","memory_percent","memory_available","processos_ativos","disk_percent","disk_avl"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:31:13.882636","False",39.6,86,"1.0G",247,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:31:24.018231","False",47.3,87.6,"925.7M",246,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:31:34.154175","False",0,87.7,"918.0M",246,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:31:44.281043","False",7.4,87.9,"900.7M",249,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:31:54.407808","False",4,85.7,"1.0G",249,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:32:04.535037","False",7.3,85.6,"1.0G",249,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:32:14.662516","False",2,84.4,"1.1G",248,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:32:24.789892","False",3.9,84.1,"1.2G",247,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:32:34.916523","False",0,84,"1.2G",247,41.5,"278.5G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:32:45.043383","False",3.8,84.1,"1.2G",244,41.5,"278.4G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:32:55.170453","False",2.2,84.1,"1.2G",243,41.5,"278.4G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:33:05.299035","False",10,84.1,"1.2G",243,41.5,"278.4G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:33:15.426354","False",12.3,84.1,"1.2G",243,41.5,"278.4G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:33:25.553204","False",3.8,84.1,"1.2G",243,41.5,"278.4G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:33:35.681932","False",0,84.1,"1.2G",243,41.5,"278.4G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:33:45.808268","False",3.8,84.2,"1.2G",243,41.5,"278.4G"
